Testnumber         Lambda
1 &        17.4286222663169
2 &        36.9771768818317
3 &        56.6229478381191
4 &        76.2758048730815
5 &        95.9041152423894
6 &        115.493284447371
7 &        135.035381409705
8 &        154.525584055801
9 &        173.960703367307
10 &        193.338484372206
11 &        212.657241649799
12 &        231.915654709042
13 &        251.112646187902
14 &        270.247305805358
15 &        289.318840951402
16 &        308.326543480006
17 &        327.269766729528
18 &        346.147909206995
19 &        364.960402735254
20 &        383.706703662224
21 &        402.386286224704
22 &        420.998637548291
23 &        439.543254703861
24 &        458.019649757333
25 &        476.427401184998
26 &        494.766448009688
27 &        513.038425761242
28 &        531.251484520574
29 &        549.433344125094
30 &        567.65471649809
31 &        586.047493519011
32 &        604.783941444403
33 &        624.014985753956
34 &        643.82205041782
35 &        664.218024784821
36 &        685.175022348873
37 &        706.648871591071
38 &        728.592118480453
39 &        750.959063761761
40 &        773.707072970399
41 &        796.796501327928
42 &        820.190224898113
43 &        843.853135198504
44 &        867.751703664067
45 &        891.853633602854
46 &        916.127589977311
47 &        940.542991608331
48 &        965.069851460708
49 &        989.678653348077
50 &        1014.3402560218
51 &        1039.02581774819
52 &        1063.70673610211
53 &        1088.35459889519
54 &        1112.94114300998
55 &        1137.43821850734
56 &        1161.81775577264
57 &        1186.05173370905
58 &        1210.11214709656
59 &        1233.97097122805
60 &        1257.6001218049
61 &        1280.97140781533
62 &        1304.05647469661
63 &        1326.82673445231
64 &        1349.25327847777
65 &        1371.30676751887
66 &        1392.95729125377
67 &        1414.17418712841
68 &        1434.92580376617
69 &        1455.17918761012
70 &        1474.89966084612
71 &        1494.0502411353
72 &        1512.59082349823
73 &        1530.47698989806
74 &        1547.65820600291
75 &        1564.07494160506
76 &        1579.65372676021
77 &        1594.29770108006
78 &        1607.86518766338
79 &        1620.11672639549
80 &        1630.7899909313
81 &        1640.81785689585
82 &        1652.18060570082
83 &        1665.25625585568
84 &        1679.7902894689
85 &        1695.64556757875
86 &        1712.77053773268
87 &        1731.15942167084
88 &        1750.83782904198
89 &        1771.85791314296
90 &        1794.29814196342
91 &        1818.26635500998
92 &        1843.90619897006
93 &        1871.40809621206
94 &        1901.02736371154
95 &        1933.11491062442
96 &        1968.17232826655
97 &        2006.95987774226
98 &        2050.73770416522
99 &        2101.92785270938
100 &        2166.78541240078
