Testnumber         Lambda
1 &        4.05707424038981
2 &        7.9060003472981
3 &        11.8105267083977
4 &        15.747505082659
5 &        19.773027926038
6 &        24.1190778137759
7 &        29.0925075840585
8 &        34.8441825052177
9 &        41.3949471393961
10 &        48.7314154682989
11 &        56.8377336901856
12 &        65.6999430635848
13 &        75.3055124805665
14 &        85.6425823447097
15 &        96.6994533810352
16 &        108.464278173372
17 &        120.924878495442
18 &        134.068637233746
19 &        147.882434853072
20 &        162.35261307155
21 &        177.464955625956
22 &        193.204680093142
23 &        209.556437083441
24 &        226.504314502844
25 &        244.031845410656
26 &        262.122018509073
27 &        280.757290621039
28 &        299.919600717014
29 &        319.590385184556
30 &        339.750594122458
31 &        360.380708500546
32 &        381.460758066236
33 &        402.970339906935
34 &        424.888637596436
35 &        447.194440867291
36 &        469.866165760594
37 &        492.881875211618
38 &        516.219300034623
39 &        539.855860273825
40 &        563.768686889972
41 &        587.934643753977
42 &        612.330349920353
43 &        636.932202154205
44 &        661.7163976862
45 &        686.658957170502
46 &        711.735747821029
47 &        736.922506701493
48 &        762.194864145052
49 &        787.528367279347
50 &        812.898503632882
51 &        838.280724798561
52 &        863.65047013047
53 &        888.983190449655
54 &        914.254371734887
55 &        939.439558774103
56 &        964.514378752442
57 &        989.454564752297
58 &        1014.23597914101
59 &        1038.83463682152
60 &        1063.22672832091
61 &        1087.38864269188
62 &        1111.29699020109
63 &        1134.92862477858
64 &        1158.26066620102
65 &        1181.27052198101
66 &        1203.93590893326
67 &        1226.23487438658
68 &        1248.14581700864
69 &        1269.64750720719
70 &        1290.71910706735
71 &        1311.34018977905
72 &        1331.49075850134
73 &        1351.15126459974
74 &        1370.30262517905
75 &        1388.92623981412
76 &        1407.00400635395
77 &        1424.51833563543
78 &        1441.45216488761
79 &        1457.78896952651
80 &        1473.51277292158
81 &        1488.60815353762
82 &        1503.06024858487
83 &        1516.8547528917
84 &        1529.97791104949
85 &        1542.41649980282
86 &        1554.15779586398
87 &        1565.18952124927
88 &        1575.49975275354
89 &        1585.0767720143
90 &        1593.90881280697
91 &        1601.98362114188
92 &        1609.28765153054
93 &        1615.80449194149
94 &        1621.5114287291
95 &        1626.37031777293
96 &        1630.28898681898
97 &        1633.1527777698
98 &        1636.17262639487
99 &        1640.66211309226
100 &        1647.2223527261
