Testnumber         Lambda
1 &        2.23082501781286
2 &        4.16830262365543
3 &        6.3831388334426
4 &        9.19813775215298
5 &        12.7672010214937
6 &        17.1133319163427
7 &        22.2340314399048
8 &        28.1240431504807
9 &        34.7775552014462
10 &        42.1881998827936
11 &        50.3489527822654
12 &        59.2520825309926
13 &        68.8891339198452
14 &        79.2509272155723
15 &        90.3275649347522
16 &        102.108442070169
17 &        114.582257988298
18 &        127.73702922239
19 &        141.560102836771
20 &        156.038170238756
21 &        171.157281401678
22 &        186.902859498195
23 &        203.259715955133
24 &        220.212065943092
25 &        237.743544311742
26 &        255.837221977968
27 &        274.475622769976
28 &        293.640740726839
29 &        313.314057849563
30 &        333.476562297048
31 &        354.108767017892
32 &        375.19072880696
33 &        396.702067773989
34 &        418.62198721006
35 &        440.929293836485
36 &        463.602418419742
37 &        486.61943673504
38 &        509.958090860394
39 &        533.595810782396
40 &        557.509736294279
41 &        581.676739166276
42 &        606.073445567906
43 &        630.676258721316
44 &        655.461381764469
45 &        680.404840802734
46 &        705.48250812692
47 &        730.670125575853
48 &        755.943328021085
49 &        781.277666951347
50 &        806.648634134088
51 &        832.031685331343
52 &        857.402264047042
53 &        882.735825282872
54 &        908.007859279602
55 &        933.193915220893
56 &        958.269624876436
57 &        983.21072616145
58 &        1007.99308658939
59 &        1032.59272659485
60 &        1056.98584270373
61 &        1081.14883052762
62 &        1105.05830755958
63 &        1128.69113574838
64 &        1152.02444382854
65 &        1175.03564938316
66 &        1197.70248061695
67 &        1220.00299781654
68 &        1241.91561447512
69 &        1263.41911805821
70 &        1284.4926903874
71 &        1305.11592761773
72 &        1325.26885978456
73 &        1344.9319698939
74 &        1364.08621252953
75 &        1382.71303194749
76 &        1400.79437962628
77 &        1418.31273123637
78 &        1435.25110298732
79 &        1451.59306730199
80 &        1467.32276775534
81 &        1482.42493319723
82 &        1496.88489095184
83 &        1510.6885789458
84 &        1523.82255655393
85 &        1536.27401385168
86 &        1548.03077880155
87 &        1559.08132162883
88 &        1569.41475517399
89 &        1579.02082916703
90 &        1587.88991479445
91 &        1596.01297283031
92 &        1603.38149213693
93 &        1609.98737086716
94 &        1615.82267732609
95 &        1620.87913047797
96 &        1625.14682742971
97 &        1628.6104215518
98 &        1631.22819370384
99 &        1632.89608064907
100 &        1634.83202096666
