Testnumber         Lambda
1 & 2.98598
2 & 6.92953
3 & 10.8271
4 & 14.6777
5 & 18.4806
6 & 22.2348
7 & 25.9392
8 & 29.5927
9 & 33.1941
10 & 36.7421
11 & 40.2353
12 & 43.6723
13 & 47.0512
14 & 50.3704
15 & 53.6276
16 & 56.8207
17 & 59.9471
18 & 63.0038
19 & 65.9874
20 & 68.8941
21 & 71.7192
22 & 74.457
23 & 77.1005
24 & 79.6407
25 & 82.0654
26 & 84.357
27 & 86.4885
28 & 88.4315
29 & 90.2481
30 & 92.1505
31 & 94.2574
32 & 96.5553
33 & 99.0168
34 & 101.624
35 & 104.365
36 & 107.232
37 & 110.219
38 & 113.322
39 & 116.535
40 & 119.858
41 & 123.286
42 & 126.819
43 & 130.454
44 & 134.19
45 & 138.026
46 & 141.961
47 & 145.994
48 & 150.124
49 & 154.351
50 & 158.673
51 & 163.09
52 & 167.602
53 & 172.208
54 & 176.909
55 & 181.702
56 & 186.589
57 & 191.569
58 & 196.642
59 & 201.812
60 & 207.09
61 & 212.517
62 & 218.185
63 & 224.228
64 & 230.788
65 & 237.993
66 & 245.978
67 & 254.927
68 & 265.147
69 & 277.229
70 & 292.709
