Testnumber         Lambda
1 & 2.94942
2 & 8.96002
3 & 18.8691
4 & 32.752
5 & 50.6041
6 & 72.4244
7 & 98.2124
8 & 127.968
9 & 161.691
10 & 199.382
11 & 241.04
12 & 286.666
13 & 336.26
14 & 389.82
15 & 447.348
16 & 508.844
17 & 574.307
18 & 643.738
19 & 717.136
20 & 794.502
21 & 875.835
22 & 961.135
23 & 1050.4
24 & 1143.64
25 & 1240.84
26 & 1342.01
27 & 1447.15
28 & 1556.26
29 & 1669.33
30 & 1786.37
31 & 1907.38
32 & 2032.35
33 & 2161.29
34 & 2294.2
35 & 2431.08
36 & 2571.93
37 & 2716.74
38 & 2865.52
39 & 3018.27
40 & 3174.98
41 & 3335.66
42 & 3500.31
43 & 3668.93
44 & 3841.52
45 & 4018.07
46 & 4198.59
47 & 4383.08
48 & 4571.53
49 & 4763.95
50 & 4960.34
51 & 5160.7
52 & 5365.02
53 & 5573.32
54 & 5785.57
55 & 6001.8
56 & 6222
57 & 6446.16
58 & 6674.29
59 & 6906.38
60 & 7142.45
61 & 7382.48
62 & 7626.48
63 & 7874.45
64 & 8126.38
65 & 8382.28
66 & 8642.15
67 & 8905.99
68 & 9173.79
69 & 9445.56
70 & 9721.3
