Testnumber         Lambda
1 & 2.9985
2 & 6.99249
3 & 10.9817
4 & 14.966
5 & 18.9455
6 & 22.9202
7 & 26.89
8 & 30.8551
9 & 34.8176
10 & 38.7925
11 & 42.8407
12 & 47.093
13 & 51.6867
14 & 56.6897
15 & 62.1102
16 & 67.9354
17 & 74.1493
18 & 80.7373
19 & 87.6869
20 & 94.9868
21 & 102.626
22 & 110.596
23 & 118.886
24 & 127.486
25 & 136.388
26 & 145.581
27 & 155.056
28 & 164.803
29 & 174.813
30 & 185.075
31 & 195.579
32 & 206.314
33 & 217.269
34 & 228.435
35 & 239.8
36 & 251.352
37 & 263.081
38 & 274.975
39 & 287.023
40 & 299.212
41 & 311.531
42 & 323.967
43 & 336.51
44 & 349.145
45 & 361.862
46 & 374.648
47 & 387.49
48 & 400.376
49 & 413.293
50 & 426.23
51 & 439.172
52 & 452.109
53 & 465.026
54 & 477.912
55 & 490.754
56 & 503.54
57 & 516.257
58 & 528.893
59 & 541.435
60 & 553.872
61 & 566.191
62 & 578.381
63 & 590.429
64 & 602.323
65 & 614.053
66 & 625.606
67 & 636.971
68 & 648.138
69 & 659.095
70 & 669.831
71 & 680.336
72 & 690.6
73 & 700.612
74 & 710.362
75 & 719.84
76 & 729.037
77 & 737.943
78 & 746.55
79 & 754.847
80 & 762.826
81 & 770.479
82 & 777.795
83 & 784.766
84 & 791.382
85 & 797.635
86 & 803.513
87 & 809.005
88 & 814.097
89 & 818.771
90 & 823.004
91 & 826.76
92 & 829.973
93 & 832.637
94 & 835.29
95 & 838.55
96 & 842.508
97 & 847.215
98 & 852.822
99 & 859.673
100 & 868.689
