Testnumber         Lambda
1 & 2.99954
2 & 7.00093
3 & 11.0725
4 & 15.5727
5 & 21.0347
6 & 27.7037
7 & 35.6095
8 & 44.7387
9 & 55.0754
10 & 66.6055
11 & 79.3151
12 & 93.1903
13 & 108.217
14 & 124.379
15 & 141.661
16 & 160.046
17 & 179.515
18 & 200.051
19 & 221.631
20 & 244.237
21 & 267.846
22 & 292.434
23 & 317.979
24 & 344.455
25 & 371.836
26 & 400.097
27 & 429.21
28 & 459.146
29 & 489.877
30 & 521.372
31 & 553.603
32 & 586.536
33 & 620.141
34 & 654.385
35 & 689.234
36 & 724.655
37 & 760.614
38 & 797.077
39 & 834.006
40 & 871.368
41 & 909.125
42 & 947.242
43 & 985.681
44 & 1024.41
45 & 1063.38
46 & 1102.56
47 & 1141.91
48 & 1181.4
49 & 1220.99
50 & 1260.63
51 & 1300.29
52 & 1339.93
53 & 1379.51
54 & 1419
55 & 1458.36
56 & 1497.54
57 & 1536.51
58 & 1575.23
59 & 1613.67
60 & 1651.79
61 & 1689.55
62 & 1726.91
63 & 1763.84
64 & 1800.3
65 & 1836.26
66 & 1871.68
67 & 1906.53
68 & 1940.77
69 & 1974.38
70 & 2007.31
71 & 2039.54
72 & 2071.04
73 & 2101.77
74 & 2131.7
75 & 2160.82
76 & 2189.08
77 & 2216.46
78 & 2242.93
79 & 2268.48
80 & 2293.07
81 & 2316.68
82 & 2339.28
83 & 2360.86
84 & 2381.4
85 & 2400.87
86 & 2419.25
87 & 2436.53
88 & 2452.69
89 & 2467.72
90 & 2481.59
91 & 2494.3
92 & 2505.83
93 & 2516.16
94 & 2525.29
95 & 2533.19
96 & 2539.83
97 & 2545.18
98 & 2549.16
99 & 2552.59
100 & 2557.7
