Testnumber         Lambda
1 & 10.1504
2 & 39.7867
3 & 89.0899
4 & 158.04
5 & 246.575
6 & 354.608
7 & 482.035
8 & 628.735
9 & 794.563
10 & 979.361
11 & 1182.95
12 & 1405.13
13 & 1645.69
14 & 1904.4
15 & 2181
16 & 2475.23
17 & 2786.8
18 & 3115.42
19 & 3460.76
20 & 3822.49
21 & 4200.26
22 & 4593.7
23 & 5002.44
24 & 5426.07
25 & 5864.2
26 & 6316.38
27 & 6782.2
28 & 7261.19
29 & 7752.9
30 & 8256.84
31 & 8772.54
32 & 9299.48
33 & 9837.17
34 & 10385.1
35 & 10942.7
36 & 11509.4
37 & 12084.8
38 & 12668.2
39 & 13259.1
40 & 13856.8
41 & 14461
42 & 15070.8
43 & 15685.9
44 & 16305.5
45 & 16929
46 & 17555.9
47 & 18185.6
48 & 18817.4
49 & 19450.8
50 & 20085
51 & 20719.6
52 & 21353.9
53 & 21987.2
54 & 22619.1
55 & 23248.7
56 & 23875.6
57 & 24499.2
58 & 25118.8
59 & 25733.8
60 & 26343.7
61 & 26947.8
62 & 27545.6
63 & 28136.5
64 & 28719.9
65 & 29295.2
66 & 29862
67 & 30419.6
68 & 30967.5
69 & 31505.2
70 & 32032.1
71 & 32547.8
72 & 33051.8
73 & 33543.5
74 & 34022.5
75 & 34488.3
76 & 34940.5
77 & 35378.6
78 & 35802.2
79 & 36211
80 & 36604.4
81 & 36982.2
82 & 37343.9
83 & 37689.2
84 & 38017.9
85 & 38329.4
86 & 38623.7
87 & 38900.3
88 & 39159
89 & 39399.5
90 & 39621.7
91 & 39825.3
92 & 40010.1
93 & 40175.9
94 & 40322.6
95 & 40450.1
96 & 40558.1
97 & 40646.6
98 & 40715.6
99 & 40764.9
100 & 40794.4
