Testnumber         Lambda
1 & 3.52918
2 & 11.1628
3 & 23.4973
4 & 40.704
5 & 62.7644
6 & 89.6374
7 & 121.271
8 & 157.604
9 & 198.565
10 & 244.073
11 & 294.041
12 & 348.369
13 & 406.952
14 & 469.675
15 & 536.415
16 & 607.042
17 & 681.417
18 & 759.394
19 & 840.822
20 & 925.54
21 & 1013.38
22 & 1104.18
23 & 1197.75
24 & 1293.91
25 & 1392.48
26 & 1493.26
27 & 1596.05
28 & 1700.65
29 & 1806.86
30 & 1914.47
31 & 2023.27
32 & 2133.05
33 & 2243.59
34 & 2354.67
35 & 2466.07
36 & 2577.59
37 & 2689
38 & 2800.08
39 & 2910.62
40 & 3020.39
41 & 3129.19
42 & 3236.8
43 & 3343.01
44 & 3447.62
45 & 3550.41
46 & 3651.19
47 & 3749.75
48 & 3845.91
49 & 3939.49
50 & 4030.28
51 & 4118.13
52 & 4202.84
53 & 4284.27
54 & 4362.25
55 & 4436.62
56 & 4507.25
57 & 4573.99
58 & 4636.71
59 & 4695.29
60 & 4749.62
61 & 4799.59
62 & 4845.1
63 & 4886.06
64 & 4922.39
65 & 4954.02
66 & 4980.89
67 & 5002.94
68 & 5020.12
69 & 5032.4
70 & 5039.74
