Testnumber         Lambda
1 & 2.99904
2 & 6.99841
3 & 11.066
4 & 15.5576
5 & 21.0012
6 & 27.6363
7 & 35.4863
8 & 44.5298
9 & 54.7424
10 & 66.0997
11 & 78.5768
12 & 92.1476
13 & 106.785
14 & 122.458
15 & 139.138
16 & 156.79
17 & 175.38
18 & 194.871
19 & 215.225
20 & 236.402
21 & 258.361
22 & 281.058
23 & 304.449
24 & 328.489
25 & 353.129
26 & 378.322
27 & 404.019
28 & 430.169
29 & 456.72
30 & 483.622
31 & 510.821
32 & 538.264
33 & 565.897
34 & 593.667
35 & 621.518
36 & 649.397
37 & 677.248
38 & 705.017
39 & 732.651
40 & 760.093
41 & 787.292
42 & 814.194
43 & 840.746
44 & 866.895
45 & 892.592
46 & 917.785
47 & 942.425
48 & 966.464
49 & 989.855
50 & 1012.55
51 & 1034.51
52 & 1055.69
53 & 1076.04
54 & 1095.53
55 & 1114.12
56 & 1131.77
57 & 1148.45
58 & 1164.12
59 & 1178.76
60 & 1192.33
61 & 1204.8
62 & 1216.16
63 & 1226.37
64 & 1235.41
65 & 1243.25
66 & 1249.87
67 & 1255.2
68 & 1259.17
69 & 1262.59
70 & 1267.7
