Testnumber         Lambda
1 & 2.99845
2 & 6.99224
3 & 10.9813
4 & 14.9706
5 & 19.0144
6 & 23.3279
7 & 28.2271
8 & 33.8824
9 & 40.3177
10 & 47.5131
11 & 55.4445
12 & 64.0891
13 & 73.4254
14 & 83.4318
15 & 94.0867
16 & 105.368
17 & 117.252
18 & 129.715
19 & 142.732
20 & 156.277
21 & 170.323
22 & 184.843
23 & 199.808
24 & 215.188
25 & 230.954
26 & 247.073
27 & 263.516
28 & 280.248
29 & 297.238
30 & 314.452
31 & 331.856
32 & 349.417
33 & 367.1
34 & 384.87
35 & 402.692
36 & 420.532
37 & 438.354
38 & 456.124
39 & 473.807
40 & 491.367
41 & 508.772
42 & 525.986
43 & 542.976
44 & 559.708
45 & 576.15
46 & 592.27
47 & 608.035
48 & 623.415
49 & 638.38
50 & 652.899
51 & 666.946
52 & 680.491
53 & 693.508
54 & 705.971
55 & 717.855
56 & 729.136
57 & 739.792
58 & 749.8
59 & 759.138
60 & 767.787
61 & 775.724
62 & 782.93
63 & 789.379
64 & 795.043
65 & 799.879
66 & 803.808
67 & 806.886
68 & 810.189
69 & 814.78
70 & 821.388
