Testnumber         Lambda
1 & 10.1496
2 & 39.7736
3 & 89.024
4 & 157.832
5 & 246.067
6 & 353.556
7 & 480.089
8 & 625.419
9 & 789.261
10 & 971.295
11 & 1171.16
12 & 1388.48
13 & 1622.81
14 & 1873.7
15 & 2140.66
16 & 2423.17
17 & 2720.67
18 & 3032.58
19 & 3358.29
20 & 3697.16
21 & 4048.54
22 & 4411.72
23 & 4786
24 & 5170.66
25 & 5564.92
26 & 5968.03
27 & 6379.2
28 & 6797.61
29 & 7222.46
30 & 7652.9
31 & 8088.09
32 & 8527.2
33 & 8969.34
34 & 9413.67
35 & 9859.3
36 & 10305.4
37 & 10751
38 & 11195.3
39 & 11637.5
40 & 12076.6
41 & 12511.8
42 & 12942.2
43 & 13367.1
44 & 13785.5
45 & 14196.6
46 & 14599.7
47 & 14994
48 & 15378.7
49 & 15752.9
50 & 16116.1
51 & 16467.5
52 & 16806.4
53 & 17132.1
54 & 17444
55 & 17741.5
56 & 18024
57 & 18291
58 & 18541.9
59 & 18776.2
60 & 18993.5
61 & 19193.4
62 & 19375.4
63 & 19539.2
64 & 19684.6
65 & 19811.1
66 & 19918.6
67 & 20006.8
68 & 20075.6
69 & 20124.9
70 & 20154.4
