Testnumber         Lambda
1 & 3.01189
2 & 7.32665
3 & 12.9392
4 & 20.5847
5 & 30.4033
6 & 42.3948
7 & 56.5456
8 & 72.8402
9 & 91.2619
10 & 111.792
11 & 134.411
12 & 159.097
13 & 185.824
14 & 214.569
15 & 245.301
16 & 277.993
17 & 312.612
18 & 349.124
19 & 387.495
20 & 427.686
21 & 469.66
22 & 513.376
23 & 558.791
24 & 605.861
25 & 654.542
26 & 704.785
27 & 756.542
28 & 809.763
29 & 864.397
30 & 920.391
31 & 977.69
32 & 1036.24
33 & 1095.98
34 & 1156.86
35 & 1218.82
36 & 1281.79
37 & 1345.72
38 & 1410.54
39 & 1476.19
40 & 1542.61
41 & 1609.74
42 & 1677.5
43 & 1745.84
44 & 1814.68
45 & 1883.97
46 & 1953.62
47 & 2023.59
48 & 2093.79
49 & 2164.16
50 & 2234.63
51 & 2305.14
52 & 2375.62
53 & 2445.99
54 & 2516.19
55 & 2586.15
56 & 2655.81
57 & 2725.1
58 & 2793.94
59 & 2862.28
60 & 2930.04
61 & 2997.16
62 & 3063.59
63 & 3129.24
64 & 3194.06
65 & 3257.99
66 & 3320.96
67 & 3382.92
68 & 3443.79
69 & 3503.54
70 & 3562.09
71 & 3619.39
72 & 3675.38
73 & 3730.01
74 & 3783.23
75 & 3834.99
76 & 3885.23
77 & 3933.91
78 & 3980.98
79 & 4026.4
80 & 4070.12
81 & 4112.09
82 & 4152.28
83 & 4190.65
84 & 4227.16
85 & 4261.78
86 & 4294.47
87 & 4325.2
88 & 4353.95
89 & 4380.67
90 & 4405.36
91 & 4427.98
92 & 4448.5
93 & 4466.92
94 & 4483.21
95 & 4497.36
96 & 4509.34
97 & 4519.14
98 & 4526.72
99 & 4532.01
100 & 4536.08
