Testnumber         Lambda
1 & 2.99777
2 & 6.98882
3 & 10.9727
4 & 14.9494
5 & 18.919
6 & 22.8831
7 & 26.8584
8 & 30.9277
9 & 35.2766
10 & 40.0864
11 & 45.4291
12 & 51.3034
13 & 57.6879
14 & 64.5598
15 & 71.8981
16 & 79.6829
17 & 87.8955
18 & 96.5168
19 & 105.528
20 & 114.91
21 & 124.644
22 & 134.709
23 & 145.085
24 & 155.752
25 & 166.687
26 & 177.87
27 & 189.278
28 & 200.888
29 & 212.677
30 & 224.623
31 & 236.702
32 & 248.889
33 & 261.161
34 & 273.494
35 & 285.864
36 & 298.246
37 & 310.615
38 & 322.948
39 & 335.221
40 & 347.408
41 & 359.487
42 & 371.433
43 & 383.223
44 & 394.833
45 & 406.241
46 & 417.424
47 & 428.361
48 & 439.028
49 & 449.405
50 & 459.472
51 & 469.208
52 & 478.592
53 & 487.607
54 & 496.233
55 & 504.452
56 & 512.246
57 & 519.597
58 & 526.488
59 & 532.899
60 & 538.812
61 & 544.203
62 & 549.046
63 & 553.299
64 & 556.895
65 & 559.801
66 & 562.622
67 & 566.208
68 & 570.777
69 & 576.587
70 & 584.457
