Testnumber         Lambda
1 & 2.9989
2 & 6.99448
3 & 10.9865
4 & 14.975
5 & 18.9601
6 & 22.9434
7 & 26.9427
8 & 31.045
9 & 35.4446
10 & 40.3294
11 & 45.7754
12 & 51.7854
13 & 58.3436
14 & 65.4332
15 & 73.04
16 & 81.1513
17 & 89.7555
18 & 98.8417
19 & 108.399
20 & 118.417
21 & 128.885
22 & 139.792
23 & 151.126
24 & 162.877
25 & 175.032
26 & 187.58
27 & 200.507
28 & 213.802
29 & 227.451
30 & 241.441
31 & 255.757
32 & 270.387
33 & 285.316
34 & 300.53
35 & 316.013
36 & 331.751
37 & 347.728
38 & 363.929
39 & 380.338
40 & 396.939
41 & 413.716
42 & 430.653
43 & 447.733
44 & 464.941
45 & 482.258
46 & 499.669
47 & 517.157
48 & 534.704
49 & 552.294
50 & 569.909
51 & 587.533
52 & 605.149
53 & 622.739
54 & 640.286
55 & 657.773
56 & 675.184
57 & 692.502
58 & 709.709
59 & 726.79
60 & 743.727
61 & 760.504
62 & 777.105
63 & 793.514
64 & 809.715
65 & 825.692
66 & 841.43
67 & 856.913
68 & 872.127
69 & 887.056
70 & 901.686
71 & 916.003
72 & 929.993
73 & 943.642
74 & 956.937
75 & 969.865
76 & 982.413
77 & 994.569
78 & 1006.32
79 & 1017.66
80 & 1028.56
81 & 1039.03
82 & 1049.05
83 & 1058.62
84 & 1067.71
85 & 1076.32
86 & 1084.44
87 & 1092.06
88 & 1099.17
89 & 1105.75
90 & 1111.8
91 & 1117.29
92 & 1122.21
93 & 1126.52
94 & 1130.16
95 & 1133.09
96 & 1135.92
97 & 1139.5
98 & 1144.08
99 & 1149.9
100 & 1157.78
