Testnumber         Lambda
1 & 2.99923
2 & 6.99617
3 & 10.9908
4 & 14.9885
5 & 19.0441
6 & 23.3777
7 & 28.3115
8 & 34.0213
9 & 40.536
10 & 47.8421
11 & 55.9224
12 & 64.762
13 & 74.3476
14 & 84.6668
15 & 95.7076
16 & 107.458
17 & 119.905
18 & 133.036
19 & 146.839
20 & 161.299
21 & 176.401
22 & 192.132
23 & 208.475
24 & 225.415
25 & 242.935
26 & 261.019
27 & 279.647
28 & 298.804
29 & 318.469
30 & 338.624
31 & 359.249
32 & 380.324
33 & 401.83
34 & 423.744
35 & 446.046
36 & 468.714
37 & 491.727
38 & 515.061
39 & 538.695
40 & 562.605
41 & 586.769
42 & 611.162
43 & 635.762
44 & 660.545
45 & 685.486
46 & 710.562
47 & 735.747
48 & 761.019
49 & 786.352
50 & 811.722
51 & 837.104
52 & 862.473
53 & 887.806
54 & 913.078
55 & 938.263
56 & 963.339
57 & 988.28
58 & 1013.06
59 & 1037.66
60 & 1062.06
61 & 1086.22
62 & 1110.13
63 & 1133.76
64 & 1157.1
65 & 1180.11
66 & 1202.78
67 & 1225.08
68 & 1246.99
69 & 1268.5
70 & 1289.58
71 & 1310.2
72 & 1330.36
73 & 1350.02
74 & 1369.18
75 & 1387.81
76 & 1405.89
77 & 1423.41
78 & 1440.35
79 & 1456.69
80 & 1472.42
81 & 1487.52
82 & 1501.98
83 & 1515.79
84 & 1528.92
85 & 1541.37
86 & 1553.12
87 & 1564.16
88 & 1574.48
89 & 1584.07
90 & 1592.91
91 & 1601
92 & 1608.31
93 & 1614.84
94 & 1620.56
95 & 1625.43
96 & 1629.38
97 & 1632.47
98 & 1635.78
99 & 1640.37
100 & 1646.98
