Testnumber         Lambda
1 & 2.99696
2 & 6.98478
3 & 10.9628
4 & 14.931
5 & 18.8894
6 & 22.8379
7 & 26.7764
8 & 30.7051
9 & 34.6259
10 & 38.5517
11 & 42.5368
12 & 46.7
13 & 51.1705
14 & 56.0138
15 & 61.2358
16 & 66.8195
17 & 72.7438
18 & 78.9886
19 & 85.5351
20 & 92.366
21 & 99.4642
22 & 106.813
23 & 114.397
24 & 122.198
25 & 130.201
26 & 138.389
27 & 146.744
28 & 155.251
29 & 163.891
30 & 172.647
31 & 181.502
32 & 190.438
33 & 199.437
34 & 208.481
35 & 217.553
36 & 226.633
37 & 235.705
38 & 244.749
39 & 253.749
40 & 262.686
41 & 271.542
42 & 280.3
43 & 288.942
44 & 297.451
45 & 305.809
46 & 314.001
47 & 322.009
48 & 329.816
49 & 337.407
50 & 344.766
51 & 351.876
52 & 358.723
53 & 365.291
54 & 371.565
55 & 377.528
56 & 383.165
57 & 388.458
58 & 393.388
59 & 397.932
60 & 402.063
61 & 405.738
62 & 408.89
63 & 411.517
64 & 414.168
65 & 417.428
66 & 421.378
67 & 426.069
68 & 431.656
69 & 438.484
70 & 447.478
