Testnumber         Lambda
1 & 2.99309
2 & 6.96536
3 & 10.9152
4 & 14.8426
5 & 18.7471
6 & 22.6286
7 & 26.487
8 & 30.3219
9 & 34.1332
10 & 37.9206
11 & 41.6839
12 & 45.4228
13 & 49.1371
14 & 52.8265
15 & 56.4908
16 & 60.1296
17 & 63.7426
18 & 67.3296
19 & 70.8901
20 & 74.424
21 & 77.9308
22 & 81.4101
23 & 84.8617
24 & 88.285
25 & 91.6797
26 & 95.0453
27 & 98.3814
28 & 101.687
29 & 104.963
30 & 108.207
31 & 111.42
32 & 114.601
33 & 117.749
34 & 120.863
35 & 123.943
36 & 126.987
37 & 129.996
38 & 132.968
39 & 135.903
40 & 138.798
41 & 141.653
42 & 144.467
43 & 147.239
44 & 149.966
45 & 152.647
46 & 155.28
47 & 157.863
48 & 160.393
49 & 162.868
50 & 165.283
51 & 167.634
52 & 169.917
53 & 172.123
54 & 174.245
55 & 176.268
56 & 178.174
57 & 179.94
58 & 181.595
59 & 183.277
60 & 185.097
61 & 187.059
62 & 189.142
63 & 191.328
64 & 193.607
65 & 195.97
66 & 198.413
67 & 200.931
68 & 203.522
69 & 206.184
70 & 208.917
71 & 211.725
72 & 214.615
73 & 217.594
74 & 220.674
75 & 223.865
76 & 227.177
77 & 230.619
78 & 234.198
79 & 237.92
80 & 241.792
81 & 245.822
82 & 250.015
83 & 254.382
84 & 258.932
85 & 263.676
86 & 268.627
87 & 273.802
88 & 279.218
89 & 284.896
90 & 290.864
91 & 297.153
92 & 303.801
93 & 310.86
94 & 318.394
95 & 326.491
96 & 335.274
97 & 344.93
98 & 355.766
99 & 368.371
100 & 384.262
