Testnumber         Lambda
1 & 2.68946
2 & 6.07981
3 & 10.9238
4 & 17.7587
5 & 26.5691
6 & 37.3457
7 & 50.0856
8 & 64.7875
9 & 81.4508
10 & 100.075
11 & 120.66
12 & 143.207
13 & 167.713
14 & 194.181
15 & 222.609
16 & 252.998
17 & 285.348
18 & 319.658
19 & 355.929
20 & 394.16
21 & 434.352
22 & 476.505
23 & 520.618
24 & 566.692
25 & 614.726
26 & 664.721
27 & 716.677
28 & 770.593
29 & 826.47
30 & 884.307
31 & 944.105
32 & 1005.86
33 & 1069.58
34 & 1135.26
35 & 1202.9
36 & 1272.5
37 & 1344.07
38 & 1417.59
39 & 1493.07
40 & 1570.51
41 & 1649.92
42 & 1731.28
43 & 1814.61
44 & 1899.89
45 & 1987.14
46 & 2076.35
47 & 2167.51
48 & 2260.64
49 & 2355.73
50 & 2452.78
51 & 2551.79
52 & 2652.76
53 & 2755.69
54 & 2860.58
55 & 2967.44
56 & 3076.25
57 & 3187.02
58 & 3299.76
59 & 3414.45
60 & 3531.11
61 & 3649.72
62 & 3770.3
63 & 3892.84
64 & 4017.33
65 & 4143.79
66 & 4272.21
67 & 4402.59
68 & 4534.93
69 & 4669.23
70 & 4805.49
71 & 4943.71
72 & 5083.9
73 & 5226.04
74 & 5370.14
75 & 5516.21
76 & 5664.23
77 & 5814.22
78 & 5966.16
79 & 6120.07
80 & 6275.93
81 & 6433.76
82 & 6593.55
83 & 6755.3
84 & 6919.01
85 & 7084.68
86 & 7252.31
87 & 7421.9
88 & 7593.45
89 & 7766.97
90 & 7942.44
91 & 8119.87
92 & 8299.27
93 & 8480.62
94 & 8663.94
95 & 8849.21
96 & 9036.45
97 & 9225.65
98 & 9416.8
99 & 9609.92
100 & 9805.01
