Testnumber         Lambda
1 & 3.01161
2 & 7.32482
3 & 12.9315
4 & 20.5612
5 & 30.3466
6 & 42.2776
7 & 56.329
8 & 72.4715
9 & 90.6725
10 & 110.896
11 & 133.101
12 & 157.246
13 & 183.281
14 & 211.157
15 & 240.819
16 & 272.208
17 & 305.263
18 & 339.919
19 & 376.109
20 & 413.761
21 & 452.802
22 & 493.156
23 & 534.743
24 & 577.482
25 & 621.289
26 & 666.079
27 & 711.763
28 & 758.254
29 & 805.458
30 & 853.285
31 & 901.64
32 & 950.429
33 & 999.556
34 & 1048.93
35 & 1098.44
36 & 1148
37 & 1197.52
38 & 1246.89
39 & 1296.01
40 & 1344.8
41 & 1393.16
42 & 1440.98
43 & 1488.19
44 & 1534.68
45 & 1580.36
46 & 1625.15
47 & 1668.96
48 & 1711.7
49 & 1753.29
50 & 1793.64
51 & 1832.68
52 & 1870.33
53 & 1906.52
54 & 1941.18
55 & 1974.23
56 & 2005.62
57 & 2035.28
58 & 2063.16
59 & 2089.19
60 & 2113.34
61 & 2135.54
62 & 2155.76
63 & 2173.96
64 & 2190.1
65 & 2204.14
66 & 2216.06
67 & 2225.83
68 & 2233.39
69 & 2238.68
70 & 2242.75
