Testnumber         Lambda
1 & 3.52941
2 & 11.1661
3 & 23.5138
4 & 40.7561
5 & 62.8913
6 & 89.9004
7 & 121.758
8 & 158.433
9 & 199.89
10 & 246.09
11 & 296.987
12 & 352.533
13 & 412.673
14 & 477.349
15 & 546.5
16 & 620.057
17 & 697.951
18 & 780.104
19 & 866.439
20 & 956.871
21 & 1051.31
22 & 1149.67
23 & 1251.86
24 & 1357.77
25 & 1467.3
26 & 1580.35
27 & 1696.8
28 & 1816.55
29 & 1939.47
30 & 2065.46
31 & 2194.38
32 & 2326.12
33 & 2460.54
34 & 2597.52
35 & 2736.92
36 & 2878.6
37 & 3022.44
38 & 3168.29
39 & 3316.01
40 & 3465.46
41 & 3616.49
42 & 3768.96
43 & 3922.72
44 & 4077.62
45 & 4233.51
46 & 4390.24
47 & 4547.65
48 & 4705.61
49 & 4863.94
50 & 5022.51
51 & 5181.16
52 & 5339.72
53 & 5498.06
54 & 5656.01
55 & 5813.43
56 & 5970.16
57 & 6126.05
58 & 6280.95
59 & 6434.71
60 & 6587.17
61 & 6738.2
62 & 6887.65
63 & 7035.37
64 & 7181.22
65 & 7325.06
66 & 7466.75
67 & 7606.15
68 & 7743.13
69 & 7877.55
70 & 8009.28
71 & 8138.21
72 & 8264.19
73 & 8387.12
74 & 8506.87
75 & 8623.32
76 & 8736.37
77 & 8845.9
78 & 8951.81
79 & 9053.99
80 & 9152.35
81 & 9246.79
82 & 9337.23
83 & 9423.56
84 & 9505.71
85 & 9583.61
86 & 9657.16
87 & 9726.32
88 & 9790.99
89 & 9851.13
90 & 9906.68
91 & 9957.57
92 & 10003.8
93 & 10045.2
94 & 10081.9
95 & 10113.8
96 & 10140.8
97 & 10162.9
98 & 10180.1
99 & 10192.4
100 & 10199.7
