Testnumber         Lambda
1 &        2.21418826022685
2 &        4.08706844284941
3 &        6.11985532504726
4 &        8.47609318947504
5 &        11.1140404895323
6 &        13.8429183038385
7 &        16.4310025013999
8 &        18.6233836044129
9 &        20.152697223969
10 &        22.0688464543428
