Testnumber         Lambda
1 &        3.98776450502016
2 &        7.58162925663106
3 &        10.9922734443213
4 &        14.1561027536315
5 &        17.0070807927577
6 &        19.4264554765124
7 &        21.6531802657418
8 &        24.5899604477576
9 &        28.6848436277955
10 &        34.709894134016
